AppID,GameName
346110,ARK: Survival Evolved
227300,Euro Truck Simulator 2
252490,Rust
413150,Stardew Valley
105600,Terraria
275850,No Man's Sky
4000,Garry's Mod
242760,The Forest
322330,Don't Starve Together
1260320,Party Animals
648800,Raft
264710,Subnautica
294100,RimWorld
1623730,Palworld
1030300,Hollow Knight: Silksong
477160,Human Fall Flat
108600,Project Zomboid
361420,ASTRONEER
892970,Valheim
305620,The Long Dark
367520,Hollow Knight
739630,Phasmophobia
457140,Oxygen Not Included
427520,Factorio
526870,Satisfactory
588650,Dead Cells
282070,This War of Mine
379430,Kingdom Come: Deliverance
391540,Undertale
250900,The Binding of Isaac: Rebirth
262060,Darkest Dungeon®
1203620,Enshrouded
1332010,Stray
244210,Assetto Corsa
268910,Cuphead
508440,Totally Accurate Battle Simulator
632360,Risk of Rain 2
686810,Hell Let Loose
219640,Chivalry: Medieval Warfare
387990,Scrap Mechanic
1145360,Hades
233860,Kenshi
220200,Kerbal Space Program
1145350,Hades II
644930,They Are Billions
222880,Insurgency
211820,Starbound
362890,Black Mesa
613100,House Flipper
433340,Slime Rancher
581320,Insurgency: Sandstorm
285900,Gang Beasts
1366540,Dyson Sphere Program
376210,The Isle
848450,Subnautica: Below Zero
646570,Slay the Spire
690830,Foundation
286160,Tabletop Simulator
1868140,DAVE THE DIVER
632470,Disco Elysium - The Final Cut
728880,Overcooked! 2
246620,Plague Inc: Evolved
1167630,Teardown
219740,Don't Starve
2592160,Dispatch
233450,Prison Architect
671860,BattleBit Remastered
1527950,Wartales
535930,Two Point Hospital
383870,Firewatch
235540,Warhammer: End Times - Vermintide
1057090,Ori and the Will of the Wisps
424840,Little Nightmares
48700,Mount & Blade: Warband
414340,Hellblade: Senua's Sacrifice
1206560,WorldBox - God Simulator
240720,Getting Over It with Bennett Foddy
2198150,Tiny Glade
666140,My Time at Portia
881100,Noita
414700,Outlast 2
313630,The Solus Project
257510,The Talos Principle
753640,Outer Wilds
304430,INSIDE
629760,MORDHAU
230290,Universe Sandbox
621060,PC Building Simulator
392110,ENDLESS™ Space 2
418240,Shadow Tactics: Blades of the Shogun
322170,Geometry Dash
992300,嗜血印 Bloody Spell
1621690,Core Keeper
860510,Little Nightmares II
880940,Pummel Party
620980,Beat Saber
311690,Enter the Gungeon
291650,Pillars of Eternity
674940,Stick Fight: The Game
774171,Muse Dash
