appid,ss_i,path,ok,w,h,bright,cont,sharp,edge,hue,sat,col,ent
4000,0,Steam_Appdetails_snapshot_100/images/4000/ss_0.jpg,1,1920,1080,122.86399257330247,70.30599030738824,526.510956092194,0.030834297839506173,74.13698109567902,63.78925636574074,31.974132537841797,7.81553840637207
4000,1,Steam_Appdetails_snapshot_100/images/4000/ss_1.jpg,1,1920,1080,160.93811390817902,58.4729946395253,879.5312762373727,0.08596643518518518,70.31890914351852,59.389700038580244,32.62087631225586,7.563024520874023
4000,2,Steam_Appdetails_snapshot_100/images/4000/ss_2.jpg,1,1920,1080,114.63853925540124,72.78344553953319,746.4465552755353,0.02911892361111111,16.929072145061728,83.8365480324074,53.899173736572266,7.105467796325684
4000,3,Steam_Appdetails_snapshot_100/images/4000/ss_3.jpg,1,1920,1080,147.3060971257716,51.05756293524776,611.7389814219357,0.07195167824074074,75.33505497685185,51.121383101851855,34.736244201660156,7.539806842803955
48700,0,Steam_Appdetails_snapshot_100/images/48700/ss_0.jpg,1,1280,800,141.2519521484375,68.26579983667855,1486.8525663891257,0.0708388671875,96.179384765625,45.63030078125,23.380290985107422,7.570267677307129
48700,1,Steam_Appdetails_snapshot_100/images/48700/ss_1.jpg,1,1280,800,156.5514033203125,58.7345651457037,391.3087494168052,0.040640625,90.792220703125,25.1283564453125,16.41265296936035,7.215179920196533
48700,2,Steam_Appdetails_snapshot_100/images/48700/ss_2.jpg,1,1680,1050,113.25046825396825,45.64568433138075,371.35820238041214,0.05507426303854875,42.38121995464853,87.45413151927437,31.084598541259766,7.47382116317749
48700,3,Steam_Appdetails_snapshot_100/images/48700/ss_3.jpg,1,1280,800,141.9739873046875,29.27037895350639,42.78577979133511,0.0093154296875,22.419169921875,59.184626953125,19.27867889404297,6.464996814727783
105600,0,Steam_Appdetails_snapshot_100/images/105600/ss_0.jpg,1,1280,720,73.27977864583333,56.51111528710674,1697.3983072238498,0.06431098090277777,58.999378255208335,114.52016927083334,84.6215591430664,6.642575740814209
105600,1,Steam_Appdetails_snapshot_100/images/105600/ss_1.jpg,1,1280,720,24.386305338541668,26.975292694832294,769.5378478459664,0.03568793402777778,101.48893663194444,175.73201714409723,72.61656188964844,5.760148525238037
105600,2,Steam_Appdetails_snapshot_100/images/105600/ss_2.jpg,1,1280,720,20.13761935763889,24.694856844606278,774.6080517752741,0.038345269097222225,62.38980794270833,56.73958441840278,23.363454818725586,5.640745162963867
105600,3,Steam_Appdetails_snapshot_100/images/105600/ss_3.jpg,1,1280,720,133.43924045138888,50.27902660331202,1095.189713999388,0.03637803819444444,104.49401258680555,95.37346245659722,55.77367401123047,6.738245964050293
