appid,num_ok,w_mean,w_med,w_min,w_max,h_mean,h_med,h_min,h_max,bright_mean,bright_med,bright_min,bright_max,cont_mean,cont_med,cont_min,cont_max,sharp_mean,sharp_med,sharp_min,sharp_max,edge_mean,edge_med,edge_min,edge_max,hue_mean,hue_med,hue_min,hue_max,sat_mean,sat_med,sat_min,sat_max,col_mean,col_med,col_min,col_max,ent_mean,ent_med,ent_min,ent_max
832360,4,1920.0,1920.0,1920.0,1920.0,1080.0,1080.0,1080.0,1080.0,113.13311101466049,112.79662880979939,109.29918258101851,117.64000385802468,36.38754645279997,35.22681076934829,31.411450477923815,43.68511379457945,413.12211128624756,467.80003001912144,237.32107717083008,479.56730793591737,0.061613739390432104,0.05581283757716049,0.044384645061728394,0.09044463734567901,56.172393060378084,56.57718364197531,44.399855324074075,67.13534963348765,103.3956428433642,99.9066886091821,90.28012876157408,123.48906539351852,55.69868469238281,53.267385482788086,42.20961380004883,74.05035400390625,6.89466118812561,6.898003578186035,6.738162040710449,7.044475555419922
1136380,4,1920.0,1920.0,1920.0,1920.0,1080.0,1080.0,1080.0,1080.0,68.81449688946759,66.43984447337962,47.64584056712963,94.73245804398148,39.93119663235258,44.60965261858098,13.51245748715795,56.99302380509042,293.77945741440203,257.0010344608006,16.386677276230845,644.729083459776,0.03962456597222222,0.04002772955246914,0.003335744598765432,0.07510706018518519,64.57259874131945,60.47651620370371,46.8153409529321,90.52202160493827,101.2757167486497,94.66986593364197,70.48902633101852,145.2741087962963,28.473240852355957,23.45856761932373,18.493379592895508,48.48244857788086,6.848173975944519,7.135089874267578,5.668959140777588,7.453557014465332
1296400,4,1920.0,1920.0,1920.0,1920.0,1080.0,1080.0,1080.0,1080.0,104.89780815972222,107.72382595486111,63.25649691358025,140.8870838155864,54.77582868000498,52.92276521649974,46.554424896738226,66.7033593902822,548.8739696912231,448.35265009379543,417.6256660341,881.1649125432016,0.05268940489969136,0.0577247299382716,0.030963541666666667,0.06434461805555555,47.23538025655864,37.77043041087963,27.258899498456792,86.14176070601852,124.95090205439814,123.9551724054784,97.26166039737655,154.63160300925927,54.85943031311035,57.48922348022461,43.54114532470703,60.918128967285156,7.555410027503967,7.605120658874512,7.254479885101318,7.756918907165527
1299460,4,1920.0,1920.0,1920.0,1920.0,1080.0,1080.0,1080.0,1080.0,59.66586275077161,55.687045476466054,34.5641975308642,92.72516251929012,42.33167659849684,42.8561430101516,34.795802565385884,48.81861780829827,302.37883460516076,344.3285305628949,127.32785043210677,393.5304268627463,0.03821373456790124,0.03960262345679012,0.020483699845679014,0.053165991512345676,86.91324508101853,87.49659119405865,61.24735628858025,111.41244164737654,152.5449406828704,137.8397108892747,119.63266444830246,214.86767650462963,56.09640312194824,56.89541435241699,46.20071029663086,64.39407348632812,6.966845154762268,7.049416542053223,6.514527797698975,7.254019737243652
1313290,4,1920.0,1920.0,1920.0,1920.0,1080.0,1080.0,1080.0,1080.0,82.24470196759259,90.81841483410494,55.074037905092595,92.2679402970679,42.17430555004783,41.2258107783249,33.03028598420843,53.21531465933312,683.5849744680626,691.7531342775665,215.9672667836612,1134.8663625334561,0.0564232494212963,0.051405767746913585,0.0315745563271605,0.09130690586419753,36.68687765239197,39.30145158179012,18.211221064814815,49.93338638117284,154.96794524016204,146.4379865933642,136.47005787037037,190.52574990354938,47.22824764251709,47.10074424743652,45.71147918701172,49.000022888183594,7.207145810127258,7.206109285354614,6.924185752868652,7.492178916931152
1346840,4,1920.0,1920.0,1920.0,1920.0,1080.0,1080.0,1080.0,1080.0,50.543500434027784,40.57800323109568,26.808079668209878,94.20991560570988,36.42552797326204,41.70811463037877,9.610330487557269,52.67555214473335,89.36415850486279,73.87053214400538,64.4096741907523,145.30589554068808,0.012487340856481483,0.015962818287037037,0.0002652391975308642,0.017758487654320986,51.90456645447531,50.73043185763889,17.172923900462962,88.98447820216049,127.09892505787037,110.38544994212964,91.02228202160494,196.6025183256173,37.124770641326904,35.14504432678223,21.59964942932129,56.609344482421875,6.140499234199524,6.027716398239136,5.159726619720459,7.346837520599365
1401730,4,1920.0,1920.0,1920.0,1920.0,1080.0,1080.0,1080.0,1080.0,76.71840555073302,72.6071858121142,50.36826822916667,111.29098234953703,49.962016020020755,47.39886534892012,42.48346236683373,62.56687101540904,753.3929706656293,783.0906085355875,403.9409988595494,1043.4496667317928,0.07083670910493828,0.06643446180555555,0.05657262731481481,0.09390528549382716,114.2521773726852,112.34904586226853,108.5064771412037,123.804140625,160.83519965277776,163.61477936921295,132.95149305555555,183.15974681712962,63.19622802734375,60.015756607055664,56.599552154541016,76.15384674072266,7.240372896194458,7.1503846645355225,6.952282428741455,7.708439826965332
1429880,4,1920.0,1920.0,1920.0,1920.0,1080.0,1080.0,1080.0,1080.0,130.12558581693673,131.65409336419754,108.19347945601852,149.00067708333333,59.15877408979054,56.99683131068268,55.856643265390936,66.78479047240587,1314.385953286291,1159.4609484874366,691.7389421179744,2246.8829740523165,0.09536807966820988,0.08292390046296297,0.0663305362654321,0.14929398148148149,50.10123565297068,46.45509235146605,26.08868537808642,81.4060725308642,84.66305145640432,94.52745852623457,40.155554108796295,109.44173466435186,49.52031230926514,50.586788177490234,31.225666046142578,65.6820068359375,7.392950415611267,7.362037897109985,7.185895919799805,7.661829948425293
1601330,4,1920.0,1920.0,1920.0,1920.0,1080.0,1080.0,1080.0,1080.0,101.41642578125,99.46194468557098,90.2272762345679,116.51453751929013,44.42462854331826,44.979450157801715,35.97488750682807,51.76472635084154,343.90930521242046,276.8119690224358,225.226509295018,596.7867735097924,0.050575569058641974,0.044333526234567905,0.03341386959876543,0.08022135416666666,48.98247950424383,53.15819637345679,19.823830054012344,69.78969521604938,128.65866898148147,129.56510464891974,106.10012731481481,149.4043393132716,75.24935054779053,79.18815612792969,61.77822494506836,80.84286499023438,7.323518514633179,7.343403100967407,7.005391597747803,7.601876258850098
1602000,4,1920.0,1920.0,1920.0,1920.0,1080.0,1080.0,1080.0,1080.0,118.2031866078318,117.41716169945988,81.41884066358024,156.55958236882717,58.19452542555754,59.37270598248665,50.588130967247,63.44455877000988,835.2903168978111,799.7144833826469,321.8184343256798,1419.9138665002704,0.07761200327932098,0.07762249228395061,0.04624662422839506,0.10895640432098766,69.26077630690585,68.38802420910494,44.43281635802469,95.8342404513889,106.53919680748456,88.42595341435185,85.02071228780864,164.28416811342592,59.02174472808838,59.62019920349121,48.84806823730469,67.9985122680664,7.4529324769973755,7.42960524559021,7.352173805236816,7.600345611572266
