appid,success,tags
<<<<<<< HEAD
346110,True,"{""Open World Survival Craft"": 12961, ""Survival"": 12273, ""Multiplayer"": 9699, ""Open World"": 9550, ""Dinosaurs"": 9172, ""Crafting"": 7822, ""Building"": 7492, ""Adventure"": 6602, ""Base-Building"": 5996, ""Co-op"": 5532, ""Action"": 4901, ""Sandbox"": 4490, ""First-Person"": 4488, ""Massively Multiplayer"": 4291, ""Singleplayer"": 4081, ""Early Access"": 3458, ""RPG"": 3271, ""Dragons"": 3262, ""Sci-fi"": 2659, ""Indie"": 2144}"
227300,True,"{""Driving"": 12933, ""Transportation"": 12686, ""Simulation"": 12637, ""Open World"": 12555, ""Automobile Sim"": 12444, ""Realistic"": 12419, ""Moddable"": 12286, ""Relaxing"": 12189, ""Exploration"": 12037, ""Economy"": 11998, ""Immersive Sim"": 11987, ""Management"": 11960, ""Atmospheric"": 11922, ""Multiplayer"": 5047, ""Controller"": 4019, ""Family Friendly"": 3897, ""Third Person"": 3887, ""Adventure"": 3855, ""Casual"": 3851, ""Indie"": 3809}"
252490,True,"{""Survival"": 18782, ""Crafting"": 11939, ""Multiplayer"": 11898, ""Open World"": 11339, ""Open World Survival Craft"": 8896, ""Building"": 8456, ""PvP"": 7743, ""Sandbox"": 7297, ""Adventure"": 5917, ""First-Person"": 5414, ""Action"": 4960, ""Nudity"": 4872, ""FPS"": 4808, ""Shooter"": 3944, ""Co-op"": 3871, ""Online Co-Op"": 3821, ""Indie"": 3125, ""Post-apocalyptic"": 3016, ""Early Access"": 2931, ""Simulation"": 2638}"
413150,True,"{""Farming Sim"": 7935, ""Pixel Graphics"": 7389, ""Multiplayer"": 7278, ""Life Sim"": 7246, ""RPG"": 6530, ""Relaxing"": 6286, ""Agriculture"": 5335, ""Simulation"": 5307, ""Crafting"": 4480, ""Sandbox"": 4378, ""Indie"": 4324, ""Building"": 3620, ""Singleplayer"": 3359, ""Casual"": 3356, ""Open World"": 3328, ""2D"": 2997, ""Dating Sim"": 2824, ""Cute"": 2814, ""Great Soundtrack"": 2561, ""Fishing"": 2287}"
105600,True,"{""Open World Survival Craft"": 16503, ""Sandbox"": 16196, ""Survival"": 12888, ""2D"": 12753, ""Multiplayer"": 12688, ""Adventure"": 11676, ""Pixel Graphics"": 11520, ""Crafting"": 10691, ""Building"": 10202, ""Exploration"": 9018, ""Co-op"": 7947, ""Open World"": 7689, ""Online Co-Op"": 6222, ""Indie"": 6178, ""Action"": 5731, ""RPG"": 5401, ""Singleplayer"": 5245, ""Replay Value"": 4412, ""Platformer"": 4068, ""Atmospheric"": 3602}"
275850,True,"{""Open World"": 5393, ""Open World Survival Craft"": 5124, ""Space"": 5088, ""Exploration"": 4851, ""Sci-fi"": 3891, ""Survival"": 3473, ""Procedural Generation"": 3237, ""Adventure"": 3125, ""First-Person"": 2989, ""Multiplayer"": 2971, ""Sandbox"": 2920, ""Singleplayer"": 2804, ""Atmospheric"": 2186, ""Crafting"": 2138, ""Space Sim"": 2116, ""Indie"": 1654, ""Action"": 1448, ""Simulation"": 1176, ""FPS"": 1052, ""VR"": 998}"
4000,True,"{""Sandbox"": 18787, ""Moddable"": 14544, ""Multiplayer"": 14509, ""Physics"": 14471, ""Building"": 14445, ""Casual"": 13191, ""Funny"": 13031, ""First-Person"": 12938, ""Singleplayer"": 12907, ""FPS"": 12865, ""Simulation"": 12850, ""Comedy"": 12843, ""Online Co-Op"": 12840, ""Co-op"": 12836, ""Shooter"": 12835, ""Action"": 12825, ""Indie"": 12748, ""PvP"": 9016, ""Realistic"": 9010, ""Exploration"": 8980}"
242760,True,"{""Open World Survival Craft"": 12535, ""Survival"": 12166, ""Open World"": 8863, ""Horror"": 8844, ""Crafting"": 6539, ""Adventure"": 5702, ""Building"": 5620, ""Survival Horror"": 5336, ""First-Person"": 4687, ""Action"": 3797, ""Exploration"": 3697, ""Sandbox"": 3371, ""Singleplayer"": 3002, ""Atmospheric"": 2811, ""Simulation"": 2599, ""Gore"": 2530, ""Realistic"": 2454, ""Indie"": 2294, ""Zombies"": 1743, ""Early Access"": 1595}"
322330,True,"{""Survival"": 41185, ""Open World Survival Craft"": 40879, ""Multiplayer"": 10570, ""Co-op"": 8186, ""Open World"": 5958, ""Adventure"": 5097, ""Crafting"": 4778, ""Online Co-Op"": 4379, ""Sandbox"": 3674, ""Difficult"": 2738, ""Indie"": 2436, ""2D"": 2322, ""Atmospheric"": 1867, ""Funny"": 1794, ""Survival Horror"": 1791, ""Strategy"": 1492, ""Horror"": 1356, ""Singleplayer"": 1309, ""Action"": 1132, ""Rogue-like"": 1031}"
