appid,thumb_hue_bin_0,thumb_hue_bin_1,thumb_hue_bin_2,thumb_hue_bin_3,thumb_hue_bin_4,thumb_hue_bin_5,thumb_hue_bin_6,thumb_hue_bin_7,thumb_hue_bin_8,thumb_hue_bin_9,thumb_hue_bin_10,thumb_hue_bin_11,thumb_hue_bin_12,thumb_hue_bin_13,thumb_hue_bin_14,thumb_hue_bin_15,thumb_avg_saturation,thumb_avg_value,thumb_distinct_colors,thumb_reduced_palette_colors,thumb_edge_density,thumb_brightness_std,thumb_warm_color_ratio,thumb_texture_complexity,ss0_hue_bin_0,ss0_hue_bin_1,ss0_hue_bin_2,ss0_hue_bin_3,ss0_hue_bin_4,ss0_hue_bin_5,ss0_hue_bin_6,ss0_hue_bin_7,ss0_hue_bin_8,ss0_hue_bin_9,ss0_hue_bin_10,ss0_hue_bin_11,ss0_hue_bin_12,ss0_hue_bin_13,ss0_hue_bin_14,ss0_hue_bin_15,ss0_avg_saturation,ss0_avg_value,ss0_distinct_colors,ss0_reduced_palette_colors,ss0_edge_density,ss0_brightness_std,ss0_warm_color_ratio,ss0_texture_complexity,tag_2D,tag_Puzzle,tag_Story_Rich,tag_RPG,tag_Pixel_Graphics,tag_Exploration,tag_Female_Protagonist,tag_Horror,tag_Fantasy,tag_First_Person,tag_Retro,tag_Platformer,tag_3D,tag_Arcade,tag_Family_Friendly,tag_Sci_fi,tag_Psychological_Horror,tag_Visual_Novel,tag_Comedy,tag_Mystery,tag_Point___Click,tag_Shooter,tag_Action_Adventure,tag_Multiple_Endings,tag_Rogue_like,tag_Rogue_lite,tag_Side_Scroller,tag_Nudity,tag_Hand_drawn,tag_Top_Down,tag_Survival,tag_Open_World,tag_Sandbox,tag_Physics,tag_Puzzle_Platformer,tag_2D_Platformer,tag_Cartoony,tag_Third_Person,tag_Walking_Simulator,tag_Management,tag_Turn_Based,tag_Building,tag_Procedural_Generation,tag_Linear,tag_Short,tag_FPS,tag_Interactive_Fiction,tag_Drama,tag_Combat,tag_VR,tag_Bullet_Hell,tag_Space,tag_Shoot__Em_Up,tag_JRPG,tag_Logic,tag_Action_Roguelike,tag_Survival_Horror,tag_Mature,tag_Tactical,tag_Hidden_Object,tag_Turn_Based_Combat,tag_Romance,tag_Turn_Based_Strategy,tag_Old_School,tag_Fast_Paced,tag_Action_RPG,tag_Dungeon_Crawler,tag_Resource_Management,tag_Dating_Sim,tag_LGBTQ,tag_Isometric,tag_RPGMaker,tag_Magic,tag_Sports,tag_Character_Customization,tag_Choose_Your_Own_Adventure,tag_Hack_and_Slash,tag_Hentai,tag_Cartoon,tag_Crafting,tag_Dark_Fantasy,tag_Metroidvania,tag_Turn_Based_Tactics,tag_3D_Platformer,tag_Text_Based,cat_Captions_available,cat_Chat_Speech_to_text,cat_Chat_Text_to_speech,cat_Co_op,cat_Cross_Platform_Multiplayer,cat_Family_Sharing,cat_Full_controller_support,cat_In_App_Purchases,cat_Includes_level_editor,cat_LAN_Co_op,cat_LAN_PvP,cat_MMO,cat_Multi_player,cat_Online_Co_op,cat_Online_PvP,cat_Partial_Controller_Support,cat_PvP,cat_Remote_Play_Together,cat_Remote_Play_on_Phone,cat_Remote_Play_on_TV,cat_Remote_Play_on_Tablet,cat_Save_Anytime,cat_Shared_Split_Screen,cat_Shared_Split_Screen_Co_op,cat_Shared_Split_Screen_PvP,cat_Single_player,cat_Stats,cat_Steam_Achievements,cat_Steam_Cloud,cat_Steam_Leaderboards,cat_Steam_Trading_Cards,cat_Steam_Workshop,cat_Tracked_Controller_Support,cat_VR_Only,cat_VR_Support,cat_VR_Supported,cat_Valve_Anti_Cheat_enabled,genre_Action,genre_Adventure,genre_Casual,genre_Free_To_Play,genre_Game_Development,genre_Gore,genre_Indie,genre_Massively_Multiplayer,genre_Nudity,genre_RPG,genre_Racing,genre_Sexual_Content,genre_Simulation,genre_Sports,genre_Strategy,genre_Utilities,genre_Violent,lang_English,lang_French,lang_German,lang_Spanish,lang_Japanese,lang_Simplified_Chinese,lang_Traditional_Chinese,lang_Korean,lang_Portuguese,lang_Russian,hw_ram_gb,hw_storage_gb,hw_has_gpu_req,dev_prev_count,tfidf_action,tfidf_adventure,tfidf_based,tfidf_battle,tfidf_build,tfidf_character,tfidf_characters,tfidf_choose,tfidf_combat,tfidf_create,tfidf_different,tfidf_discover,tfidf_enemies,tfidf_experience,tfidf_explore,tfidf_features,tfidf_fight,tfidf_friends,tfidf_game,tfidf_gameplay,tfidf_games,tfidf_help,tfidf_items,tfidf_just,tfidf_level,tfidf_levels,tfidf_life,tfidf_like,tfidf_make,tfidf_mode,tfidf_music,tfidf_need,tfidf_new,tfidf_play,tfidf_player,tfidf_players,tfidf_power,tfidf_puzzle,tfidf_puzzles,tfidf_set,tfidf_skills,tfidf_story,tfidf_style,tfidf_time,tfidf_unique,tfidf_unlock,tfidf_use,tfidf_way,tfidf_weapons,tfidf_world,price_usd,achievements_total,screenshots_count,movies_count,short_desc_len,detailed_desc_len,required_age,platform_mac,platform_linux,has_demo,has_website
346110,10.7533,19.2477,11.4186,9.3842,7.6572,2.3023,2.0961,2.8615,9.186,18.1456,2.9575,1.0354,0.4408,0.2366,0.8089,1.4681,64.1739,117.2819,51889.0,13486.0,21.2093,68.812,42.3094,2601.4104,4.7438,4.4305,28.772,7.5338,3.8642,1.8202,1.9104,1.7144,4.482,40.6738,0.0414,0.0014,0.002,0.0047,0.002,0.0034,100.3289,148.1322,60083.0,8864.0,14.9278,68.8835,27.3275,704.0017,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,8.0,60.0,1,0,0.0959549690530327,0.0,0.1958597934252803,0.104274858214798,0.2764144709114705,0.2943354697513441,0.0,0.0,0.0,0.1702340533831652,0.1595483394448064,0.1644539902270941,0.0,0.1321415509097648,0.1708867060220083,0.0619112822195452,0.0990763321420416,0.0994702797373847,0.1502362982469543,0.1405820706122246,0.0884232335217512,0.1554776321676042,0.3581499610277054,0.0888758479582793,0.2010387723866499,0.0,0.1894058796501553,0.0808154842550671,0.0801749664941918,0.0,0.1053774145767759,0.0,0.2191101122115603,0.0691461083647786,0.2215703276098504,0.2317887322746089,0.0,0.0,0.0,0.0961546334144862,0.0,0.1251832716998212,0.0985793116502474,0.1207146269164899,0.0711976002634081,0.0,0.2122766866985095,0.0779494921428619,0.1759573424673957,0.1549105328155981,14.99,32.0,23,7,211,14761,0,1,0,0,1
227300,44.4995,19.4237,9.1658,0.9343,0.4954,0.9757,0.3761,0.2447,0.9889,10.9019,5.9828,2.0445,1.0152,0.5743,1.1335,1.2437,90.4942,63.4128,36713.0,15956.0,13.0121,82.652,75.5814,4037.4279,5.0876,24.4249,7.525,4.9852,0.9786,0.5588,4.5213,1.2397,1.2872,36.0006,8.5219,1.7063,0.8633,0.7046,0.6666,0.9284,85.6765,140.5038,65554.0,10304.0,14.0889,77.4617,35.8995,1470.838,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,8.0,25.0,1,0,0.0,0.0,0.0,0.0,0.2640140049436503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3436243538231404,0.2612628547059616,0.0,0.2479171078227896,0.287557706058842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2014223864325207,0.0,0.3901457859850276,0.0,0.0,0.0,0.2917934989478649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3432916196791473,0.0,0.0,0.4516979172974771,19.99,106.0,56,2,211,3569,0,1,1,1,1
252490,62.2194,13.8857,10.2599,0.5915,1.5814,0.1213,2.639,3.3812,2.7806,0.7391,0.361,0.093,0.0647,0.0293,0.8008,0.452,32.7008,70.3401,5471.0,1404.0,3.8645,44.5212,87.6441,261.7755,3.1148,7.2869,11.181,7.1025,2.7907,1.5856,2.1057,2.9724,14.6342,38.2711,4.933,1.0898,0.5188,0.3933,0.5948,1.4255,54.6402,145.6038,80096.0,10716.0,15.3178,69.3558,21.1833,684.5889,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,12.0,45.0,1,1,0.0,0.0,0.0,0.0,0.4614407946475394,0.1823901029704282,0.0,0.0,0.0,0.0,0.0,0.1773078108042176,0.1650029006442633,0.0,0.3547139315007594,0.0,0.0,0.1815814598179839,0.1366588496675242,0.0,0.0,0.0,0.1924124116411777,0.0,0.0,0.0,0.0,0.0,0.2478059117403095,0.1687707635008728,0.0,0.1838302883854626,0.3071691273574908,0.0,0.1694984569163667,0.2745479643657521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3981283077274616,0.0,39.99,92.0,32,5,189,4884,0,1,0,0,1
413150,4.0991,13.9424,4.3539,0.2235,0.7664,3.8574,7.5086,12.5885,34.9606,16.9767,0.0324,0.0162,0.004,0.0071,0.0546,0.6087,178.8467,173.8243,42806.0,14267.0,14.7867,75.0213,22.9717,2857.7912,14.6539,53.3664,3.677,15.7674,3.5428,1.336,1.7388,1.7551,0.3208,1.2309,0.4734,0.0258,0.0739,0.1967,0.0983,1.7429,205.3174,169.9082,63847.0,18306.0,27.7228,64.4244,72.7234,4184.1191,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,2.0,0.488,0,0,0.0,0.0,0.0,0.0,0.1373581208156719,0.2193604605834005,0.11422341613057,0.1279953427663882,0.2295484349772568,0.22074301656966,0.0985826776153627,0.0,0.0,0.101201097177446,0.1787768626809025,0.0802805486049095,0.0,0.2183879059794012,0.0,0.0,0.0,0.2841435186715358,0.2868320412427892,0.1152455832931319,0.1242190332744734,0.0,0.3267230508877816,0.1047936850792601,0.1760248698491854,0.0,0.136643215089476,0.0,0.2574927047237753,0.0,0.1204004521474373,0.2417230674958578,0.0,0.0,0.0,0.1246840066087656,0.2694957644478098,0.0,0.0,0.0924497450287764,0.1937483891755536,0.1267285566938193,0.0,0.1711388206224118,0.1347575837541663,0.0,14.99,49.0,16,1,240,4472,0,1,1,0,1
105600,7.7583,12.7149,1.6117,0.5602,0.5571,3.8089,14.8443,3.3862,29.4307,11.1739,4.3296,2.814,2.3215,1.9262,1.8908,0.8716,141.3744,145.8049,49965.0,19168.0,19.179,44.8194,26.0172,3061.9275,28.2505,21.8275,2.9602,0.3567,0.312,0.314,0.7134,0.729,2.5343,8.9457,30.6634,0.3357,0.4035,0.2157,0.5032,0.9352,111.0486,121.5725,39802.0,12014.0,12.2423,97.6098,54.5058,1777.9276,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,2.5,0.195,0,0,0.2361768631581024,0.2109841214691099,0.0,0.0,0.2607256074936342,0.0,0.0,0.2429536987034477,0.257340992624201,0.0,0.0,0.0,0.0,0.1920943398462789,0.2004222564405729,0.1523841086398229,0.4128901406786102,0.0,0.0,0.0,0.2176387750375032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1701914047219162,0.2285374963070054,0.218632757659899,0.0,0.0,0.0,0.0,0.0,0.0,0.2426362368474401,0.0,0.2967084726813777,0.0,0.0,0.0,0.0,0.3353196658538379,9.99,137.0,19,5,113,1133,0,1,1,0,1
275850,10.8959,30.3418,4.0768,2.9252,3.2194,3.546,7.7139,29.0516,4.5854,0.9201,0.3468,0.2083,0.1658,0.1507,0.548,1.3043,114.4783,179.4703,63215.0,26701.0,13.1183,56.4915,46.7179,2389.4263,1.1285,0.5798,0.2475,2.9426,1.2492,0.3262,0.4286,1.4025,59.0583,30.3575,1.0898,0.2285,0.219,0.1668,0.2536,0.3215,151.2933,199.6003,73121.0,18445.0,12.7611,70.1351,2.5947,966.6818,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,8.0,15.0,1,1,0.2307033317114762,0.206094445960011,0.0,0.0,0.0,0.0,0.0,0.401822955064176,0.0,0.0,0.0,0.395394671407463,0.0,0.0,0.3314798818596386,0.0,0.2382079859385813,0.2391551492138374,0.1063044100659983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2169939580844767,0.0,0.1927636689647958,0.0,0.0,0.0,0.0,0.2814808481485903,0.2232410114776162,0.2135658207114098,0.2513158195946346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1711794996416707,0.0,0.0,0.0,0.0,0.0,59.99,27.0,169,42,101,3515,0,1,0,0,1
4000,0.3043,0.3438,0.9201,0.457,0.3367,0.1496,0.2831,0.1759,1.0627,94.4894,0.2659,0.1335,0.1325,0.7412,0.1284,0.0758,238.7617,241.9877,7429.0,2235.0,4.271,15.7753,2.455,694.9254,10.8046,8.6534,5.3148,3.8147,3.0986,2.0257,2.8408,3.9374,32.4015,26.1997,0.4924,0.0136,0.0353,0.0732,0.0834,0.2109,62.2473,138.3037,41167.0,7461.0,6.9282,75.6508,24.3625,851.7934,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,4.0,10.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2936401947015819,0.0,0.0,0.335160338262516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3093128683119457,0.0,0.2947591423202305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3356910760876143,0.2149578569651733,0.3902683622744782,0.0,0.5013499266364185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2373374367013895,0.0,0.0,0.0,0.0,0.0,9.99,29.0,20,0,121,2123,0,1,1,0,1
242760,6.2305,3.3873,16.3549,4.6279,2.2892,1.3984,1.4823,1.5632,7.2315,3.9383,4.4611,16.7836,13.0081,6.0647,5.3074,5.8716,125.892,52.2842,18903.0,4374.0,8.6673,69.9703,42.5005,759.0275,4.1673,17.924,46.3637,21.4884,5.0178,1.593,1.4465,0.942,0.845,0.0726,0.0624,0.002,0.0034,0.0346,0.0319,0.0054,62.6619,68.4231,41734.0,5804.0,10.296,62.3725,62.9734,800.5798,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,4.0,5.0,1,0,0.0,0.0,0.0,0.0,0.6095668380080139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3690554611950881,0.0,0.4120897269873652,0.1492977656436557,0.2389205082931682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1961728231132231,0.0,0.4243174610052632,0.1565454474683069,19.99,45.0,16,1,237,1125,0,0,0,0,1
322330,35.0152,24.9889,7.9343,1.0263,0.4115,0.6431,0.8928,0.2588,0.4348,0.2659,0.7149,2.0121,7.6026,5.9828,5.5622,6.2538,96.823,114.2514,26792.0,8439.0,16.6926,77.4008,85.4156,7143.5659,55.3847,11.4143,0.7575,0.0115,0.0502,0.4537,7.506,7.2706,2.8429,3.97,2.773,0.6999,1.0539,0.9698,1.3326,3.5095,118.6238,64.4075,39559.0,6515.0,16.2062,59.6654,73.3561,2350.0065,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1.0,3.0,1,4,0.0,0.0,0.0,0.0,0.4415822196920367,0.0,0.0,0.0,0.0,0.0,0.0,0.1929368850799663,0.0,0.0,0.3394484558900706,0.0,0.3332193333117028,0.4146590132420563,0.184315838175126,0.0,0.0,0.1824058510748389,0.2093729045798473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1280908156039192,0.1373514667209321,0.0,0.1764456318278582,0.0,0.0,0.0,0.1910010591170242,0.0,0.0,0.1958174272378621,0.1416220066700498,0.0,0.0,0.0,0.1548384620504179,0.0,0.2706167682242921,14.99,0.0,14,50,141,4842,0,1,1,0,1
1260320,4.1365,26.9737,21.3418,18.2427,8.3458,0.9464,0.8433,0.7523,1.7108,5.5288,6.4783,2.1456,0.6967,0.6127,0.4681,0.7765,76.5002,179.0943,54655.0,18222.0,17.6977,60.4115,48.3549,1396.8776,6.8163,13.4549,6.2405,12.4349,11.1681,4.6922,4.7499,3.5421,7.1587,17.8012,4.8686,1.3075,0.8667,0.7168,1.7185,2.4631,67.339,141.0098,83984.0,14520.0,10.0057,47.4245,29.2779,331.4486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,8.0,12.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4567399471373784,0.0,0.0,0.0,0.0,0.0,0.0,0.5975885390573074,0.449747250649539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4816679034453912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.99,116.0,18,3,259,3561,0,0,0,0,1
